question,answer,era
鎌倉時代、地頭が荘園領主と対立した際、土地を折半して支配権を分けたことを何という？,下地中分,鎌倉
親鸞が説いた、自力の修行ではなく阿弥陀仏の力を信じるという考え方は？,他力本願,鎌倉
鎌倉時代、臨済宗を広め、喫茶の習慣も伝えた僧侶は？,栄西,鎌倉
一遍が始めた、音楽や踊りに合わせて念仏を唱えるスタイルを何というか？,踊念仏,鎌倉
後醍醐天皇を助け、足利尊氏と対立して南朝を支えた『神皇正統記』の著者は？,北畠親房,南北朝
足利義満が室町幕府の軍事力を支えるために直轄した精鋭部隊を何というか？,奉公衆,室町
応仁の乱の際、西軍を指揮した有力な守護大名は誰か？,山名宗全,室町
戦国時代に堺で豪商たちが組織した自治組織を何というか？,会合衆,戦国
戦国大名が、村々の境界や水利をめぐる争いを裁くために出した法を何という？,喧嘩両成敗法,戦国
石見銀山の開発などで普及した、銀の精錬技術（鉛を使うもの）を何というか？,灰吹法,戦国
安土桃山時代、堺の商人で信長・秀吉に仕え、茶道に政治的意味を持たせたのは？,今井宗久,安土桃山
秀吉の朝鮮出兵に際し、名護屋城が築かれたのは現在の何県か？,佐賀県,安土桃山
江戸幕府の職制で、老中を補佐し大名監察を司る役職は？,大目付,江戸
江戸幕府の職制で、江戸の町政・司法・警察を担ったのは？,町奉行,江戸
徳川家康が、ウィリアム・アダムズ（三浦按針）を顧問として外交を行った港は？,浦賀,江戸
1604年、特定の商人に輸入生糸の独占購入を認めた制度は？,糸割符制度,江戸
江戸時代、長崎から清への支払いに使われた「昆布」などの乾燥海産物を何という？,俵物,江戸
徳川家光の時、スペイン船の来航を禁止したのは西暦何年か？,1624年,江戸
江戸幕府の財政再建で、勘定吟味役として萩原重秀が発行した貨幣は？,元禄小判,江戸
江戸時代、幕府から銀貨の鋳造を請け負った組織を何というか？,銀座,江戸
江戸時代、農村の特産品を都市に送る際に、中継点となった河岸などの場所は？,寄場,江戸
享保の改革において、訴訟を迅速にするために出された「これ以下の訴えは受けない」という法は？,相済令,江戸
田沼意次が、長崎貿易の決済用として開発した蝦夷地の産物は？,俵物,江戸
寛政の改革で、江戸に流入した無宿人を収容し、職業訓練を行った施設は？,人足寄場,江戸
天保の改革で、江戸十里四方の私領を幕府領にしようとして猛反発を浴びた令は？,上知令,江戸
本居宣長とともに国学の四大人と呼ばれる人物は、荷田春満、賀茂真淵、あと一人は？,平田篤胤,江戸
幕末、緒方洪庵が大坂に開き、福沢諭吉らが学んだ私塾は？,適塾,江戸
弥生時代、長崎県カラカミ遺跡などで出土した、穀物を製粉するための道具は？,石臼,弥生
4世紀のヤマト政権で、軍事的な権威の象徴となった石製の装身具は？,勾玉,古墳
律令制下、身分により刑罰が減免される特権を何というか？,蔭位の制,奈良
後三条天皇が設置し、荘園の書類を厳格に審査した役所は？,記録荘園券文再興（記録所）,平安
鎌倉時代、幕府の裁判で不動産訴訟を扱った法廷を何という？,引付,鎌倉
戦国大名北条氏が、年貢の徴収を確実にするために行った検地は？,小田原検地,戦国
徳川吉宗が制定した、現在の「裁判の判例集」にあたるものは？,公事方御定書,江戸
田沼意次が、長崎貿易の支払いのために輸出を奨励した銀を何という？,丁銀,江戸
徳川家斉が、寛政の改革の後に実権を握り続けた華やかな政治時期は？,大御所時代,江戸
江戸時代、宿場町で幕府の役人や大名の宿泊を扱った施設は？,本陣,江戸
蘭学の発展において、前野良沢の弟子で『蘭学事始』を書いたのは？,杉田玄白,江戸
